cs	popsize	wij	s	f	inithom	inithet	p	naa	ntrial	q	err
610	1000	(1.000000,0.990000,1.000000)	0.010000	0.010000	1	2	0.002000	656	560000	1.171429e-03	8.959122e-05
987	1000	(1.000000,0.990000,1.000000)	0.010000	0.010000	1	2	0.002000	711	540000	1.316667e-03	9.671883e-05
1	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	11	100230000	1.097476e-07	6.485667e-08
2	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
3	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
5	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
8	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
13	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	0	100230000	0.000000e+00	0.000000e+00
21	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	2	100230000	1.995411e-08	2.765498e-08
34	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	175	100230000	1.745984e-06	2.586884e-07
55	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	387	26830000	1.442415e-05	1.437103e-06
89	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	388	6320000	6.139241e-05	6.108598e-06
144	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	424	3380000	1.254438e-04	1.193975e-05
233	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	426	2190000	1.945205e-04	1.847032e-05
377	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	451	1680000	2.684524e-04	2.477289e-05
610	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	467	1410000	3.312057e-04	3.003471e-05
987	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	0	1	0.000500	465	1090000	4.266055e-04	3.876711e-05
1	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	43	100230000	4.290133e-07	1.282308e-07
2	1000	(1.000000,0.990000,1.000000)	0.010000	0.100000	1	2	0.002000	0	100230000	0.000000e+00	0.000000e+00
